Spanish,English
"Hola, ¿cómo estás?","Hello, how are you?"
El gato duerme en el sofá.,The cat sleeps on the sofa.
Me gusta cocinar pasta italiana.,I like to cook Italian pasta.
¿Dónde está la estación de tren?,Where is the train station?
Mañana voy al cine con mis amigos.,Tomorrow I'm going to the movies with my friends.
El libro está sobre la mesa.,The book is on the table.
¿Cuál es tu color favorito?,What is your favorite color?
Necesito comprar leche y pan.,I need to buy milk and bread.
La música es mi pasión.,Music is my passion.
¿A qué hora empieza la clase?,What time does the class start?
Me encanta viajar por el mundo.,I love traveling around the world.
El perro ladra muy fuerte.,The dog barks very loudly.
¿Puedes ayudarme con mi tarea?,Can you help me with my homework?
Hoy hace mucho calor.,It's very hot today.
Me gustaría reservar una mesa para dos.,I would like to reserve a table for two.
El avión despega en diez minutos.,The plane takes off in ten minutes.
¿Cuánto cuesta este vestido?,How much does this dress cost?
No entiendo esta palabra.,I don't understand this word.
La película fue muy emocionante.,The movie was very exciting.
"Feliz cumpleaños, que tengas un gran día.","Happy birthday, have a great day."
